match_id,puuid,win,total_minions_killed,surrender,total_damage_dealt_champions,vision_score,time_played,minionsPerMinute,visionScorePerMinute,damageDealtPerMinute
NA1_5256848424,Ih30OZmt2qpy7p3XkHrqcS4dc_Nb29DE0PTWv66ILDhrR48uXnBr3fztxyIQrfPjKsANt3BclXEX0Q,False,177,False,31119,34,37,4.78,0.92,841.05
NA1_5254599065,Ih30OZmt2qpy7p3XkHrqcS4dc_Nb29DE0PTWv66ILDhrR48uXnBr3fztxyIQrfPjKsANt3BclXEX0Q,False,221,False,24348,24,33,6.7,0.73,737.82
NA1_5254581423,Ih30OZmt2qpy7p3XkHrqcS4dc_Nb29DE0PTWv66ILDhrR48uXnBr3fztxyIQrfPjKsANt3BclXEX0Q,True,98,True,13857,22,19,5.16,1.16,729.32
NA1_5254559105,Ih30OZmt2qpy7p3XkHrqcS4dc_Nb29DE0PTWv66ILDhrR48uXnBr3fztxyIQrfPjKsANt3BclXEX0Q,False,133,True,20961,21,27,4.93,0.78,776.33
NA1_5254538296,Ih30OZmt2qpy7p3XkHrqcS4dc_Nb29DE0PTWv66ILDhrR48uXnBr3fztxyIQrfPjKsANt3BclXEX0Q,False,107,True,18562,14,22,4.86,0.64,843.73
NA1_5273768185,ADVa-RXqvezLqpvs1cyz8Rt159NavHyrGWbkxCbaGXDIVT4qHPex6O7vflnj_H1R1tV6lQdTbrvsbw,False,228,True,40877,4,33,6.91,0.12,1238.7
NA1_5273182479,ADVa-RXqvezLqpvs1cyz8Rt159NavHyrGWbkxCbaGXDIVT4qHPex6O7vflnj_H1R1tV6lQdTbrvsbw,True,230,True,32258,10,29,7.93,0.34,1112.34
NA1_5273174522,ADVa-RXqvezLqpvs1cyz8Rt159NavHyrGWbkxCbaGXDIVT4qHPex6O7vflnj_H1R1tV6lQdTbrvsbw,False,117,True,7382,6,16,7.31,0.38,461.38
NA1_5273160818,ADVa-RXqvezLqpvs1cyz8Rt159NavHyrGWbkxCbaGXDIVT4qHPex6O7vflnj_H1R1tV6lQdTbrvsbw,True,248,True,37999,8,32,7.75,0.25,1187.47
NA1_5273110840,ADVa-RXqvezLqpvs1cyz8Rt159NavHyrGWbkxCbaGXDIVT4qHPex6O7vflnj_H1R1tV6lQdTbrvsbw,True,13,False,6910,14,23,0.57,0.61,300.43
NA1_5273082801,ADVa-RXqvezLqpvs1cyz8Rt159NavHyrGWbkxCbaGXDIVT4qHPex6O7vflnj_H1R1tV6lQdTbrvsbw,True,245,False,22915,7,26,9.42,0.27,881.35
NA1_5272897938,ADVa-RXqvezLqpvs1cyz8Rt159NavHyrGWbkxCbaGXDIVT4qHPex6O7vflnj_H1R1tV6lQdTbrvsbw,False,280,False,28099,14,36,7.78,0.39,780.53
NA1_5272873233,ADVa-RXqvezLqpvs1cyz8Rt159NavHyrGWbkxCbaGXDIVT4qHPex6O7vflnj_H1R1tV6lQdTbrvsbw,True,14,False,9355,9,22,0.64,0.41,425.23
NA1_5271786273,ADVa-RXqvezLqpvs1cyz8Rt159NavHyrGWbkxCbaGXDIVT4qHPex6O7vflnj_H1R1tV6lQdTbrvsbw,True,286,False,30776,21,35,8.17,0.6,879.31
NA1_5271776660,ADVa-RXqvezLqpvs1cyz8Rt159NavHyrGWbkxCbaGXDIVT4qHPex6O7vflnj_H1R1tV6lQdTbrvsbw,False,2,True,10718,7,21,0.1,0.33,510.38
NA1_5271400989,ADVa-RXqvezLqpvs1cyz8Rt159NavHyrGWbkxCbaGXDIVT4qHPex6O7vflnj_H1R1tV6lQdTbrvsbw,False,217,False,18105,13,29,7.48,0.45,624.31
NA1_5270348527,ADVa-RXqvezLqpvs1cyz8Rt159NavHyrGWbkxCbaGXDIVT4qHPex6O7vflnj_H1R1tV6lQdTbrvsbw,False,322,False,45104,14,34,9.47,0.41,1326.59
NA1_5269987322,ADVa-RXqvezLqpvs1cyz8Rt159NavHyrGWbkxCbaGXDIVT4qHPex6O7vflnj_H1R1tV6lQdTbrvsbw,True,32,False,29024,18,29,1.1,0.62,1000.83
